Date,Authority,Definition,Exception,Precedent,Rescinding,Amending
10-28-2021,19,48,51,44,17,41
11-15-2021,36,33,11,21,45,9
07-18-2022,8,47,12,9,5,53
07-28-2022,48,53,18,29,7,31
08-16-2022,35,34,34,24,40,10
12-29-2022,41,34,39,6,50,43
01-09-2023,5,46,11,21,55,32
02-02-2023,48,45,45,46,35,20
02-09-2023,16,40,39,23,37,6
03-17-2023,50,31,9,41,47,36
03-30-2023,38,43,52,23,11,27
04-03-2023,26,46,36,9,32,45
05-02-2023,25,12,22,39,11,26
05-16-2023,31,23,48,18,51,28
05-22-2023,53,34,34,20,13,52
06-03-2023,46,41,54,50,22,38
06-07-2023,9,33,53,31,18,49
06-07-2023,12,6,21,55,17,53
06-07-2023,32,33,50,19,5,14
06-13-2023,20,55,9,32,46,16
06-27-2023,45,21,10,35,54,50
06-27-2023,29,39,18,12,40,31
07-10-2023,50,14,39,36,52,37
07-14-2023,49,43,34,38,48,43
07-17-2023,22,43,52,39,38,38
07-17-2023,55,26,31,50,49,52
07-20-2023,38,14,24,20,35,16
07-24-2023,41,24,9,23,19,11
07-26-2023,40,11,54,35,10,9
07-27-2023,42,46,32,27,23,25
07-27-2023,41,51,8,9,17,54
09-08-2023,34,29,50,15,49,32
09-18-2023,45,49,54,38,18,33
09-19-2023,32,29,12,38,34,34
09-20-2023,48,23,50,36,13,40
09-30-2023,21,52,6,17,52,42
10-04-2023,41,40,26,37,20,48
10-06-2023,11,47,17,36,15,39
10-06-2023,18,36,33,40,5,41
10-16-2023,13,54,7,19,27,26
10-25-2023,19,51,10,30,31,19
10-25-2023,50,39,27,50,52,25
11-01-2023,29,11,20,20,52,31
11-06-2023,29,32,46,12,9,34
11-07-2023,30,9,51,47,9,22
11-08-2023,14,45,26,19,26,23
11-17-2023,11,17,44,42,53,10
11-29-2023,50,6,39,13,50,44
12-04-2023,27,40,12,9,47,50
12-04-2023,18,50,26,33,35,29
12-05-2023,36,54,22,5,9,53
12-07-2023,48,29,21,12,12,18
12-13-2023,17,54,50,53,45,34
12-20-2023,6,36,27,52,30,50
12-22-2023,27,48,21,26,19,40
01-11-2024,25,43,31,41,13,48
01-19-2024,41,5,7,47,55,45
01-25-2024,50,46,22,34,46,9
02-01-2024,26,28,20,52,30,51
02-04-2024,42,49,8,32,53,26
02-06-2024,47,19,45,44,45,15
02-29-2024,24,39,19,43,30,15
03-08-2024,10,7,51,13,52,19
03-09-2024,13,35,35,43,49,39
03-11-2024,40,53,54,54,31,45
03-12-2024,33,15,47,18,6,8
03-14-2024,39,36,34,22,32,48
03-21-2024,38,26,10,49,23,11
03-22-2024,50,40,15,7,21,22
04-09-2024,41,21,22,15,11,39
04-10-2024,23,44,41,49,6,15
04-16-2024,11,9,43,43,7,46
04-18-2024,25,30,29,5,19,9
04-24-2024,30,42,32,5,55,9
05-14-2024,22,25,10,18,44,14
05-16-2024,26,30,29,45,26,14
05-16-2024,13,32,28,40,25,7
05-20-2024,55,37,18,31,22,19
05-21-2024,19,22,49,5,37,48
05-28-2024,38,21,49,27,30,47
06-03-2024,30,26,29,10,19,5
06-05-2024,50,18,32,8,13,51
06-14-2024,33,33,48,41,20,10
06-25-2024,48,15,34,5,51,53
07-08-2024,46,31,26,41,22,40
07-08-2024,33,41,21,38,18,24
07-08-2024,44,27,50,44,34,44
07-09-2024,48,10,28,15,7,26
07-23-2024,15,55,49,51,25,47
07-23-2024,17,5,43,22,21,38
07-30-2024,54,41,17,40,44,12
08-01-2024,31,13,8,47,24,17
09-09-2024,44,44,19,30,22,55
09-09-2024,22,16,15,15,28,39
09-10-2024,37,26,23,14,12,9
09-10-2024,23,6,51,49,47,33
09-10-2024,24,26,17,38,8,6
09-16-2024,38,16,9,47,20,53
09-18-2024,31,31,55,47,53,26
09-26-2024,35,32,14,11,17,38
10-02-2024,8,52,9,40,31,8
11-12-2024,27,13,44,55,49,50
11-18-2024,20,32,25,44,31,27
12-12-2024,22,35,33,39,7,44
12-17-2024,8,35,25,39,7,28
12-23-2024,52,31,43,54,19,43
12-23-2024,20,19,27,53,51,12